YEARDAY,LON,LAT
117.1875,-67.15268612,36.53906822
117.2055556,-67.12693691,36.53454065
117.2513889,-67.06106186,36.52741671
117.2972222,-66.99542284,36.52333975
117.3430556,-66.93345308,36.51912332
117.3895833,-66.87422991,36.5067637
117.4354167,-66.8149209,36.49430752
117.48125,-66.757586,36.4818728
117.5256944,-66.70379162,36.46786094
117.5715278,-66.65649891,36.45269036
117.6173611,-66.61538601,36.44174695
117.6631944,-66.56884432,36.44158602
117.6868056,-66.54307365,36.44123197
117.7090278,-66.52007103,36.44038439
117.7555556,-66.46760702,36.43277764
117.8013889,-66.41932726,36.4230895
117.8458333,-66.3717556,36.41414166
117.8916667,-66.33300304,36.40912056
117.9375,-66.29002333,36.40446424
117.9833333,-66.24247313,36.40334845
118.0291667,-66.18876457,36.40171766
118.075,-66.1326313,36.39504433
118.1208333,-66.07025385,36.38985157
118.1652778,-65.99916458,36.37463808
118.1875,-65.96199989,36.36277199
118.2118056,-65.92024326,36.34587407
118.2576389,-65.83859682,36.31429911
118.3034722,-65.76171398,36.28606081
118.3493056,-65.68435907,36.25637412
118.3951389,-65.61202526,36.22627974
118.4409722,-65.54550648,36.19943619
118.4854167,-65.48699141,36.17950201
118.5333333,-65.44495583,36.15234733
118.5777778,-65.41521549,36.10829473
118.6236111,-65.40272713,36.05486512
118.6694444,-65.4022336,36.00739002
118.6868056,-65.40354252,35.99267006
118.7152778,-65.4050231,35.97152352
118.7611111,-65.40665388,35.94128966
118.8055556,-65.40199757,35.9104979
118.8513889,-65.39485216,35.88429809
118.8972222,-65.38639784,35.86252928
118.9430556,-65.3707552,35.8421123
118.9895833,-65.35178661,35.82344413
119.0354167,-65.3323245,35.804497
119.08125,-65.31337738,35.79349995
119.1270833,-65.29097557,35.78735232
119.1715278,-65.25984049,35.78267455
119.1875,-65.24677277,35.78206301
119.2173611,-65.2204442,35.77857614
119.2631944,-65.17761469,35.76854467
119.3090278,-65.1324892,35.75994015
119.3555556,-65.0796175,35.76042295
119.4013889,-65.02043724,35.75676441
119.4458333,-64.96850967,35.75293422
119.4916667,-64.9238348,35.76525092
119.5375,-64.88765717,35.7880497
119.5833333,-64.85074997,35.82109451
119.6291667,-64.8108387,35.86497545
119.675,-64.76646423,35.91547608
119.6868056,-64.75232363,35.93066812
119.7208333,-64.71460104,35.97123384
119.7652778,-64.6596694,36.03210926
119.8118056,-64.60098267,36.09130025
119.8576389,-64.53699589,36.14457965
119.9034722,-64.47506905,36.19536996
119.9493056,-64.41301346,36.23975515
119.9951389,-64.34997082,36.28916144
120.0409722,-64.27669287,36.3248992
120.0868056,-64.20678377,36.34902835
120.13125,-64.13906336,36.36922002
120.1777778,-64.07022715,36.38433695
120.1875,-64.05509949,36.38661146
120.2236111,-64.00272131,36.39050603
120.2694444,-63.93294096,36.39189005
120.3152778,-63.877666,36.38430476
120.3611111,-63.87601376,36.35642052
120.4055556,-63.87745142,36.33002758
120.4513889,-63.88468266,36.3080442
120.4972222,-63.90729904,36.28326058
120.5430556,-63.93744707,36.26670599
